Item,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g)
OnePlus 9 Pro,1.77,0.35,2.64,0.66,0.04,0.06,1.1,0.21,0.96
Apple Watch,1.15,0.48,1.88,0.27,0.04,0.01,0.97,0.13,1.97
Raspberry Pi 4,1.91,0.76,2.01,0.92,0.18,0.03,0.76,0.17,1.88
Nintendo Switch,2.46,1.58,1.71,0.23,0.04,0.03,0.86,1.07,0.87
LG OLED TV,2.36,1.26,2.8,0.53,0.11,0.1,1.18,0.53,1.22
OnePlus 9 Pro,4.55,1.54,2.32,0.16,0.07,0.07,1.45,1.02,0.61
MacBook Pro,1.17,1.46,0.32,0.29,0.18,0.07,1.58,1.42,0.49
Raspberry Pi 4,4.42,1.0,2.66,0.15,0.06,0.1,0.89,0.52,2.98
Xbox Series X,3.28,1.74,2.01,0.67,0.09,0.05,0.42,0.2,2.2
HP Spectre x360,2.65,0.78,0.97,0.22,0.03,0.09,0.34,1.37,1.33
Canon EOS R5,4.98,1.99,1.73,0.69,0.09,0.02,1.88,0.35,0.73
Microsoft Surface Pro,0.98,0.92,0.94,0.51,0.07,0.04,1.33,0.62,0.75
iPad Pro,2.31,1.31,2.82,0.24,0.18,0.02,0.66,0.77,1.82
Nikon D3500,4.34,1.57,1.23,0.11,0.05,0.06,1.94,0.19,2.19
Nintendo Switch,3.99,0.52,2.16,0.73,0.03,0.04,0.76,1.22,1.02
OnePlus 9 Pro,2.79,0.56,0.62,0.93,0.05,0.09,1.08,1.41,2.62
Raspberry Pi 4,2.55,1.7,1.52,0.8,0.11,0.04,0.34,1.18,2.85
Microsoft Surface Pro,0.51,1.67,1.08,0.89,0.14,0.06,1.15,0.27,0.54
MacBook Pro,2.01,0.89,0.74,0.33,0.05,0.05,0.39,0.63,0.36
LG OLED TV,3.68,0.5,1.87,0.98,0.04,0.02,1.41,1.19,2.91
Apple Watch,3.94,1.95,0.29,0.12,0.02,0.04,1.03,0.52,0.25
LG OLED TV,4.81,0.47,0.21,0.53,0.18,0.01,0.71,0.16,0.8
Raspberry Pi 4,3.59,1.64,2.27,0.43,0.15,0.05,1.42,0.34,0.13
Apple Watch,0.18,1.03,2.86,0.72,0.19,0.03,0.38,1.47,1.39
Sony PlayStation 5,4.42,1.03,2.45,0.32,0.13,0.05,1.36,0.2,2.29
Xbox Series X,0.47,1.72,2.94,0.85,0.06,0.05,1.85,0.14,2.48
Canon EOS R5,4.13,1.23,0.27,0.43,0.09,0.03,1.54,0.62,2.02
Sony PlayStation 5,2.66,0.39,1.72,0.88,0.11,0.05,0.86,0.74,1.18
HP Spectre x360,1.64,0.53,0.69,0.39,0.17,0.1,0.74,1.0,0.58
Dell XPS 13,3.05,0.24,2.84,0.44,0.13,0.05,0.16,1.25,0.78
Amazon Kindle,2.07,0.23,0.34,0.95,0.06,0.06,0.95,1.09,2.63
iPad Pro,0.19,0.48,2.04,0.11,0.17,0.03,1.61,0.99,2.82
Nintendo Switch,4.58,1.01,2.69,0.58,0.13,0.09,0.28,0.3,2.88
LG OLED TV,3.93,1.17,0.5,0.78,0.1,0.09,1.97,1.29,2.74
OnePlus 9 Pro,3.12,0.12,0.26,0.62,0.18,0.01,0.98,0.54,0.64
Samsung Galaxy S20,3.06,0.56,1.41,0.1,0.09,0.04,1.46,1.46,0.13
Raspberry Pi 4,2.91,1.04,1.6,0.45,0.07,0.05,1.54,0.37,1.7
Lenovo ThinkPad X1,1.52,0.46,0.58,0.73,0.15,0.08,1.41,1.17,2.7
Apple Watch,4.28,0.97,0.66,0.68,0.12,0.02,1.14,0.25,2.96
Lenovo ThinkPad X1,0.62,0.15,0.67,0.79,0.19,0.02,0.99,1.44,2.57
Raspberry Pi 4,0.4,1.62,2.9,0.87,0.08,0.02,1.95,0.25,0.38
iPad Pro,3.69,0.34,1.47,0.48,0.17,0.03,1.56,0.6,0.17
MacBook Pro,4.13,0.6,1.79,0.28,0.1,0.06,1.18,1.27,2.33
LG OLED TV,3.81,0.69,2.2,0.84,0.03,0.06,0.19,0.69,2.46
Sony PlayStation 5,4.34,0.71,2.9,0.51,0.05,0.02,1.07,0.98,0.33
Canon EOS R5,2.94,1.29,2.01,0.3,0.18,0.08,0.8,0.23,1.76
iPad Pro,3.16,0.72,1.56,0.39,0.16,0.02,0.91,1.01,0.98
Lenovo ThinkPad X1,4.93,0.36,2.62,0.47,0.13,0.08,1.95,1.1,1.27
LG OLED TV,3.04,1.01,1.66,0.25,0.09,0.03,0.83,0.55,0.28
iPad Pro,3.95,1.03,0.36,0.64,0.19,0.06,1.53,1.27,1.35
Samsung Galaxy S20,3.74,1.72,0.32,0.17,0.13,0.04,0.93,0.74,0.59
Apple Watch,2.21,1.78,2.0,0.52,0.13,0.1,1.26,1.23,2.73
iPhone 11,3.25,1.28,0.34,0.58,0.07,0.03,0.18,0.38,0.97
Xbox Series X,4.71,0.34,0.54,0.87,0.11,0.06,1.73,1.39,2.82
Nikon D3500,3.68,1.97,1.19,0.14,0.03,0.01,1.13,0.47,0.97
Samsung Galaxy S20,4.28,1.7,2.46,0.64,0.13,0.06,0.96,0.2,1.22
iPhone 11,0.24,1.35,2.82,0.88,0.06,0.06,0.7,0.14,2.81
LG OLED TV,0.31,0.62,2.96,0.14,0.15,0.08,1.17,0.11,1.89
iPhone 11,4.76,1.2,1.34,0.78,0.18,0.08,1.94,0.78,0.93
Google Pixel 6,0.37,0.4,2.97,0.67,0.02,0.06,1.75,0.94,2.3
Microsoft Surface Pro,2.05,1.68,2.07,0.85,0.03,0.06,1.24,1.13,0.97
OnePlus 9 Pro,1.49,0.27,0.82,0.15,0.2,0.02,0.54,1.49,2.23
Samsung Galaxy S20,1.36,1.38,1.2,0.49,0.05,0.04,1.87,1.44,0.32
iPhone 11,3.19,1.62,1.82,0.71,0.18,0.05,1.2,0.31,2.62
Nikon D3500,2.86,0.97,0.55,0.38,0.04,0.02,0.57,0.3,0.97
Xbox Series X,4.2,0.35,0.19,0.91,0.04,0.02,1.09,0.11,0.48
Microsoft Surface Pro,4.61,1.77,1.44,0.65,0.15,0.03,1.95,1.24,1.83
iPad Pro,2.94,1.28,2.43,0.94,0.1,0.05,1.35,1.09,2.31
iPad Pro,1.62,0.38,0.17,0.16,0.12,0.06,0.17,0.2,1.92
MacBook Pro,3.96,1.08,0.47,0.95,0.18,0.02,0.22,0.69,1.72
Google Pixel 6,2.45,1.51,1.23,0.76,0.06,0.05,0.44,1.08,0.4
Canon EOS R5,2.61,1.88,2.15,0.67,0.06,0.07,0.76,0.58,1.61
Apple Watch,2.29,0.64,1.1,0.89,0.08,0.04,1.27,0.17,1.06
iPhone 11,2.61,1.27,2.74,0.15,0.11,0.03,0.86,0.22,2.22
HP Spectre x360,1.12,1.27,1.78,0.72,0.06,0.1,0.2,1.28,2.16
Nikon D3500,0.88,0.54,2.79,0.32,0.02,0.03,1.57,0.23,1.0
iPhone 11,3.98,1.62,2.65,0.87,0.03,0.05,1.11,0.43,2.08
Nikon D3500,4.9,0.48,2.02,0.52,0.16,0.05,1.57,0.59,1.72
Raspberry Pi 4,0.9,0.98,2.62,0.18,0.1,0.08,0.61,1.02,1.35
Sony PlayStation 5,4.62,0.83,2.28,0.69,0.01,0.08,1.61,0.93,0.32
Samsung Galaxy S20,1.33,0.4,1.56,0.9,0.04,0.06,1.19,0.27,0.51
Canon EOS R5,2.73,0.62,1.98,0.67,0.19,0.04,1.78,0.11,0.51
Fitbit Charge,4.79,0.19,1.38,0.91,0.01,0.08,0.65,1.08,1.64
Sony PlayStation 5,1.48,0.65,1.77,0.23,0.16,0.07,0.19,0.35,0.54
Microsoft Surface Pro,1.64,1.14,2.58,0.27,0.01,0.08,1.35,0.64,1.01
LG OLED TV,2.07,1.56,2.23,0.9,0.03,0.09,1.15,0.68,2.11
Raspberry Pi 4,2.8,0.98,1.85,0.35,0.07,0.02,0.13,1.22,1.32
Sony PlayStation 5,0.2,1.74,1.61,0.35,0.15,0.03,1.23,0.12,2.65
Xbox Series X,2.36,1.65,1.85,0.62,0.05,0.09,1.59,1.0,0.5
Amazon Kindle,0.53,1.77,2.23,0.23,0.17,0.02,1.79,1.42,0.49
Xbox Series X,2.21,1.61,0.77,0.2,0.02,0.02,1.86,1.15,2.26
Apple Watch,0.87,0.85,0.15,0.66,0.02,0.06,1.84,0.34,1.22
iPad Pro,2.02,0.22,0.23,1.0,0.03,0.1,1.34,0.26,2.9
Canon EOS R5,2.96,0.45,0.73,0.28,0.09,0.08,0.57,1.44,0.84
Xbox Series X,0.63,1.15,0.67,0.66,0.12,0.09,0.72,0.25,2.72
Amazon Kindle,2.64,0.6,1.23,0.33,0.05,0.05,0.61,0.7,1.28
Dell XPS 13,4.0,0.35,1.54,0.37,0.11,0.09,1.54,0.49,2.85
iPhone 11,4.26,0.19,0.94,0.73,0.02,0.09,1.81,1.29,2.05
OnePlus 9 Pro,1.22,0.18,0.58,0.58,0.1,0.03,1.97,1.36,2.17
Raspberry Pi 4,3.53,1.99,1.01,0.27,0.1,0.09,0.8,0.68,2.41
Fitbit Charge,2.22,0.72,2.9,0.34,0.03,0.06,0.19,1.3,1.22
Microsoft Surface Pro,3.7,0.99,2.18,0.49,0.02,0.08,0.79,0.56,0.44
iPad Pro,2.62,0.72,0.64,0.85,0.05,0.07,0.72,0.28,1.93
iPad Pro,3.13,0.36,2.18,0.59,0.09,0.03,1.36,0.8,0.52
Raspberry Pi 4,4.58,1.93,2.88,0.39,0.19,0.1,1.63,1.07,1.73
OnePlus 9 Pro,1.02,1.8,1.56,0.42,0.16,0.07,1.6,0.6,1.79
Nintendo Switch,2.07,0.6,1.14,0.83,0.16,0.06,1.74,0.69,1.48
Fitbit Charge,3.85,0.64,1.32,0.54,0.18,0.03,0.42,0.4,1.97
Nikon D3500,2.36,0.42,0.3,0.29,0.06,0.09,1.77,0.28,1.58
Apple Watch,4.28,1.68,2.15,0.96,0.09,0.04,1.98,0.7,2.95
Xbox Series X,1.59,1.13,1.12,0.75,0.02,0.06,1.26,0.37,2.99
Raspberry Pi 4,0.52,1.68,1.99,0.98,0.05,0.09,1.49,1.42,0.74
Nikon D3500,4.68,1.09,0.34,0.43,0.1,0.07,1.63,0.42,2.12
Raspberry Pi 4,3.07,0.94,0.65,0.88,0.11,0.03,1.82,0.27,1.01
HP Spectre x360,0.96,0.95,2.55,0.49,0.13,0.04,0.77,1.15,2.57
iPhone 11,1.71,0.42,2.24,0.84,0.03,0.06,1.4,0.81,0.28
iPhone 11,3.86,1.92,2.44,0.62,0.16,0.1,0.69,0.26,1.56
Fitbit Charge,1.88,1.53,0.17,0.43,0.14,0.02,1.83,0.73,2.38
Nikon D3500,0.98,0.85,2.62,0.16,0.07,0.03,0.69,0.92,1.5
Sony PlayStation 5,4.34,1.05,0.65,0.75,0.07,0.1,0.19,1.4,0.77
Lenovo ThinkPad X1,2.62,1.64,1.51,0.71,0.16,0.07,1.66,0.5,2.78
Sony PlayStation 5,4.34,0.78,1.43,0.79,0.19,0.07,1.96,1.19,2.3
Canon EOS R5,3.74,0.63,1.57,0.51,0.02,0.02,1.86,0.88,2.98
Amazon Kindle,1.86,0.93,2.55,0.84,0.01,0.04,1.12,0.72,1.06
Google Pixel 6,2.08,0.4,2.8,0.81,0.03,0.07,1.0,0.42,0.98
MacBook Pro,0.77,1.74,1.76,0.46,0.09,0.07,0.62,0.4,1.72
Raspberry Pi 4,3.41,1.31,2.38,0.86,0.08,0.06,1.64,0.43,0.18
Canon EOS R5,2.69,0.18,0.49,0.25,0.17,0.05,1.55,0.2,0.68
Google Pixel 6,3.64,1.83,2.42,0.44,0.15,0.08,1.55,1.38,0.57
Microsoft Surface Pro,1.46,0.29,2.4,0.34,0.19,0.05,0.19,1.48,0.4
HP Spectre x360,3.79,1.19,1.48,0.96,0.13,0.06,0.6,0.42,1.12
Canon EOS R5,3.47,0.62,0.76,0.75,0.09,0.06,0.75,0.21,1.34
HP Spectre x360,3.07,1.6,1.95,0.84,0.14,0.03,0.61,0.27,0.17
Google Pixel 6,2.35,0.3,1.91,0.71,0.06,0.09,1.93,1.15,2.41
Xbox Series X,1.75,1.37,2.21,0.84,0.09,0.04,1.65,1.3,2.22
Google Pixel 6,3.88,1.63,0.49,0.88,0.16,0.07,1.71,1.13,2.58
MacBook Pro,1.35,0.94,1.03,0.36,0.14,0.05,1.26,0.58,1.62
Nikon D3500,0.47,0.62,0.62,0.2,0.19,0.05,1.89,0.49,0.91
Microsoft Surface Pro,3.77,1.72,2.99,0.21,0.13,0.04,0.13,0.83,1.97
Canon EOS R5,3.57,0.89,0.62,0.97,0.1,0.04,0.11,0.78,0.21
MacBook Pro,3.45,0.42,2.78,0.33,0.16,0.05,0.99,0.19,0.67
HP Spectre x360,1.0,0.64,1.54,0.36,0.17,0.03,1.33,0.48,0.63
MacBook Pro,1.74,1.31,2.5,0.46,0.13,0.09,1.34,0.88,2.53
Dell XPS 13,4.16,1.93,1.31,0.19,0.08,0.03,0.7,0.25,1.14
Canon EOS R5,0.84,0.75,2.43,0.95,0.19,0.1,1.53,1.49,0.44
OnePlus 9 Pro,2.39,1.89,1.51,0.6,0.13,0.04,0.99,0.59,1.84
Xbox Series X,4.36,0.37,1.05,0.21,0.02,0.02,1.07,0.18,2.31
Apple Watch,0.64,1.35,1.98,0.83,0.2,0.02,1.65,0.11,1.19
MacBook Pro,4.41,0.34,2.9,0.46,0.2,0.09,0.27,0.9,2.13
iPad Pro,0.31,0.17,1.94,0.7,0.01,0.03,0.42,1.33,2.72
LG OLED TV,4.64,1.92,0.57,0.88,0.02,0.03,0.87,0.85,2.27
Canon EOS R5,4.8,1.21,0.99,0.73,0.02,0.05,0.58,0.4,0.35
Amazon Kindle,1.35,1.92,1.04,0.18,0.09,0.05,0.99,0.48,0.91
iPhone 11,0.96,1.39,1.03,0.89,0.16,0.08,0.73,1.21,0.75
Sony PlayStation 5,2.7,1.16,2.96,0.99,0.09,0.06,0.4,1.06,0.9
iPhone 11,1.51,1.05,2.31,0.31,0.11,0.02,1.33,0.38,1.96
Nikon D3500,1.69,1.69,1.85,0.87,0.01,0.08,1.31,0.23,1.5
Nikon D3500,3.72,1.32,2.89,0.2,0.06,0.03,1.7,0.86,2.88
iPhone 11,1.42,0.4,0.59,0.33,0.18,0.02,1.39,0.49,1.32
Canon EOS R5,2.35,1.37,1.94,0.98,0.13,0.05,0.95,0.1,2.14
Amazon Kindle,2.97,1.92,1.69,0.38,0.15,0.03,0.27,1.1,2.17
Nintendo Switch,2.57,0.84,0.98,0.11,0.07,0.06,1.99,0.51,2.3
Google Pixel 6,2.84,0.25,0.29,0.43,0.05,0.04,0.33,0.24,0.29
HP Spectre x360,4.7,1.48,0.23,0.1,0.04,0.08,1.71,0.82,1.15
iPhone 11,4.6,1.67,0.18,0.81,0.1,0.05,1.14,0.82,1.69
Canon EOS R5,4.19,0.82,0.93,0.68,0.05,0.05,0.15,0.21,0.5
Nintendo Switch,1.58,0.48,2.68,0.98,0.15,0.05,0.96,0.15,2.98
Amazon Kindle,3.86,1.25,0.26,0.76,0.16,0.05,1.49,0.48,0.95
Lenovo ThinkPad X1,3.85,0.73,1.08,0.4,0.18,0.08,0.67,1.36,2.17
Fitbit Charge,2.74,0.73,2.54,0.41,0.1,0.05,1.91,1.36,2.51
Microsoft Surface Pro,3.31,1.55,1.0,0.22,0.11,0.02,1.84,0.77,1.31
Amazon Kindle,0.67,1.51,2.98,0.13,0.1,0.07,0.33,0.48,0.12
iPad Pro,1.28,1.96,2.54,1.0,0.18,0.09,0.81,0.2,2.84
Lenovo ThinkPad X1,0.72,0.94,0.53,0.4,0.13,0.07,1.79,1.2,1.84
Canon EOS R5,3.36,1.48,0.16,0.16,0.16,0.02,1.31,1.34,1.74
Nikon D3500,0.78,0.35,0.54,0.38,0.12,0.04,0.28,0.16,0.52
Samsung Galaxy S20,0.99,1.59,2.55,0.62,0.09,0.06,0.46,0.76,1.79
Dell XPS 13,3.61,1.26,1.72,0.48,0.18,0.06,1.84,1.44,0.67
Xbox Series X,4.2,1.11,0.89,0.19,0.1,0.02,1.76,0.41,1.88
Apple Watch,4.63,0.27,1.71,0.77,0.05,0.08,1.67,0.58,0.25
Fitbit Charge,0.75,2.0,1.03,0.18,0.19,0.09,0.67,0.2,2.93
iPad Pro,0.14,1.09,0.84,0.4,0.05,0.05,1.5,0.38,2.35
iPhone 11,2.87,0.57,0.43,0.57,0.1,0.1,0.3,0.32,1.34
Samsung Galaxy S20,1.87,1.91,2.06,0.18,0.02,0.02,0.31,0.21,2.9
Microsoft Surface Pro,0.47,1.87,2.35,0.6,0.18,0.02,1.66,1.2,0.24
Samsung Galaxy S20,1.29,1.36,2.82,0.86,0.2,0.08,0.83,0.11,2.23
Canon EOS R5,1.0,0.38,1.67,0.12,0.1,0.06,1.63,0.64,1.41
Xbox Series X,2.54,0.69,1.72,0.71,0.06,0.09,0.67,0.77,0.61
Apple Watch,2.48,1.9,1.11,0.68,0.02,0.09,0.97,0.7,1.35
Google Pixel 6,2.16,1.95,1.12,0.66,0.12,0.1,0.2,1.21,2.16
HP Spectre x360,3.5,0.61,2.65,0.17,0.1,0.03,1.88,0.51,0.36
Canon EOS R5,4.34,1.28,1.56,0.15,0.18,0.01,1.1,0.76,1.58
Sony PlayStation 5,0.84,1.56,0.53,0.15,0.13,0.07,1.46,1.07,1.62
Microsoft Surface Pro,0.9,1.54,0.34,0.29,0.05,0.02,0.29,0.61,1.5
Apple Watch,0.39,0.57,0.74,0.72,0.07,0.02,0.41,0.83,1.04
Dell XPS 13,3.62,0.41,0.53,0.31,0.11,0.07,1.38,1.02,1.07
Microsoft Surface Pro,1.24,1.4,1.91,0.69,0.19,0.02,1.43,0.92,0.22
HP Spectre x360,4.33,0.41,1.4,0.79,0.13,0.06,1.8,0.39,0.16
Fitbit Charge,0.11,1.9,1.78,0.69,0.12,0.05,1.21,0.5,2.12
Microsoft Surface Pro,0.57,1.58,1.96,0.44,0.19,0.08,1.62,1.3,0.33
iPad Pro,3.69,0.52,1.62,0.33,0.16,0.09,1.44,0.72,0.57
Google Pixel 6,3.61,1.5,1.81,0.11,0.07,0.07,1.58,0.66,1.04
Dell XPS 13,2.14,0.97,1.3,0.35,0.07,0.01,1.57,0.36,1.93
HP Spectre x360,0.87,1.63,2.27,0.21,0.19,0.02,0.8,0.44,1.37
Raspberry Pi 4,4.39,1.6,0.34,0.82,0.03,0.05,1.15,1.43,2.61
Raspberry Pi 4,4.77,1.07,1.17,0.93,0.11,0.04,0.17,0.92,2.29
Xbox Series X,4.63,1.03,0.56,0.49,0.17,0.08,0.85,0.93,2.51
Nintendo Switch,1.46,1.3,1.3,0.23,0.05,0.09,0.96,1.22,1.15
Dell XPS 13,1.02,1.28,1.82,0.54,0.06,0.03,0.64,1.45,0.48
Samsung Galaxy S20,0.33,1.81,0.2,0.32,0.03,0.06,0.48,0.78,1.49
iPhone 11,3.51,1.81,2.98,0.58,0.19,0.01,1.3,0.14,2.33
Fitbit Charge,0.56,1.53,2.1,0.6,0.16,0.03,1.42,1.14,0.44
Google Pixel 6,3.26,1.48,2.72,0.46,0.11,0.04,0.72,1.39,2.75
Nikon D3500,2.59,1.44,1.26,0.37,0.04,0.08,1.13,0.46,1.49
OnePlus 9 Pro,2.7,1.43,2.97,0.28,0.03,0.08,0.51,1.42,1.11
Nikon D3500,3.41,1.66,0.84,0.99,0.04,0.04,1.72,0.26,0.7
LG OLED TV,3.16,1.89,0.29,0.7,0.16,0.08,0.91,0.57,0.92
Microsoft Surface Pro,1.5,0.69,2.64,0.59,0.15,0.09,0.22,1.1,2.88
Apple Watch,4.89,0.18,2.99,0.48,0.08,0.04,0.32,0.77,1.14
iPhone 11,1.16,0.79,2.86,0.45,0.14,0.07,1.94,0.84,0.88
Samsung Galaxy S20,4.54,0.64,0.42,0.98,0.14,0.04,0.78,0.69,2.6
Samsung Galaxy S20,3.23,1.24,2.74,0.93,0.09,0.02,1.3,1.22,2.82
Nikon D3500,1.02,0.87,1.08,0.27,0.12,0.04,1.71,0.33,0.71
Google Pixel 6,4.86,1.84,0.86,0.92,0.08,0.04,0.89,1.41,0.96
Microsoft Surface Pro,4.82,0.68,1.62,0.3,0.1,0.09,0.3,1.07,1.97
Apple Watch,0.73,1.05,2.62,0.82,0.01,0.1,1.76,1.27,0.43
Nintendo Switch,4.04,1.53,2.51,0.7,0.01,0.06,0.44,0.61,2.82
Amazon Kindle,0.76,1.26,0.52,0.97,0.12,0.02,1.69,1.03,2.11
Nintendo Switch,4.38,1.98,2.47,0.64,0.17,0.03,1.48,1.42,0.28
iPhone 11,4.07,1.79,2.68,0.78,0.12,0.05,1.67,1.46,0.68
Nikon D3500,0.4,0.22,0.88,0.72,0.11,0.03,0.3,0.66,2.39
Xbox Series X,2.7,1.81,0.79,0.38,0.05,0.07,0.16,0.12,1.67
Apple Watch,4.94,1.31,1.55,0.51,0.15,0.03,1.17,0.91,1.6
Xbox Series X,2.51,1.72,2.02,0.81,0.14,0.09,0.83,0.62,1.03
MacBook Pro,1.95,0.45,2.5,0.11,0.09,0.07,0.52,0.21,1.89
Lenovo ThinkPad X1,4.5,0.59,1.22,0.51,0.17,0.09,0.81,0.5,0.57
Canon EOS R5,4.15,0.78,1.65,0.32,0.13,0.07,0.67,1.26,0.38
MacBook Pro,2.93,0.31,0.54,0.27,0.17,0.07,0.69,0.71,1.06
Nikon D3500,4.38,0.89,1.29,0.62,0.19,0.07,0.3,0.78,1.23
LG OLED TV,2.82,1.22,1.22,0.61,0.17,0.06,0.94,0.19,0.22
iPad Pro,1.27,0.11,2.34,0.99,0.07,0.1,0.91,0.25,1.4
Dell XPS 13,2.38,1.73,0.64,0.74,0.13,0.08,0.68,0.23,0.94
Raspberry Pi 4,0.68,0.83,0.77,0.53,0.1,0.02,0.56,0.37,1.36
Samsung Galaxy S20,2.51,0.21,3.0,0.11,0.05,0.07,1.18,0.58,1.3
Apple Watch,1.99,0.35,2.14,0.84,0.12,0.09,0.58,0.3,2.69
Apple Watch,2.29,0.12,2.76,0.44,0.05,0.07,1.22,1.24,1.35
LG OLED TV,2.18,0.26,1.3,0.16,0.12,0.08,0.23,1.47,0.7
Fitbit Charge,0.76,1.55,0.68,0.92,0.16,0.07,1.51,0.68,1.71
Nintendo Switch,2.67,0.7,2.16,0.61,0.03,0.07,0.46,1.24,1.32
Raspberry Pi 4,1.8,1.7,2.23,0.97,0.04,0.03,0.63,0.29,0.32
Xbox Series X,0.94,1.84,0.14,0.93,0.01,0.01,1.78,0.41,0.81
HP Spectre x360,1.94,1.43,1.37,0.54,0.03,0.03,1.6,0.43,1.73
Apple Watch,3.29,0.36,0.72,0.77,0.16,0.03,0.77,1.44,0.45
Nintendo Switch,4.19,1.08,2.05,0.15,0.02,0.01,1.82,1.44,0.5
OnePlus 9 Pro,2.22,1.68,1.4,0.87,0.02,0.05,1.63,1.21,0.23
Nikon D3500,4.35,1.32,0.48,0.68,0.01,0.02,0.8,0.44,2.29
MacBook Pro,2.7,1.26,0.58,0.86,0.06,0.01,1.25,0.55,0.98
Samsung Galaxy S20,1.62,0.68,2.88,0.14,0.14,0.04,1.0,0.86,2.52
Xbox Series X,2.05,0.4,2.87,0.65,0.17,0.08,0.96,0.96,2.34
iPad Pro,4.7,0.35,1.6,0.52,0.01,0.03,0.52,0.9,1.36
HP Spectre x360,3.61,1.71,2.15,0.37,0.2,0.04,0.37,1.3,0.63
Canon EOS R5,0.7,1.92,2.34,0.24,0.14,0.03,0.57,0.75,0.32
Apple Watch,3.91,0.61,0.17,0.83,0.09,0.01,1.71,0.53,0.88
Nintendo Switch,0.28,0.59,2.64,0.72,0.12,0.06,0.21,1.46,1.76
Sony PlayStation 5,1.79,0.68,2.26,0.72,0.12,0.04,0.58,0.5,2.85
Amazon Kindle,1.92,1.4,2.17,0.61,0.11,0.06,1.11,1.13,0.14
Samsung Galaxy S20,3.23,1.04,0.35,0.86,0.15,0.03,1.66,0.89,1.08
Microsoft Surface Pro,1.46,1.04,2.19,0.89,0.2,0.03,1.47,1.19,2.9
Amazon Kindle,3.21,0.54,2.43,0.26,0.07,0.04,1.54,0.92,1.87
Fitbit Charge,2.74,0.8,2.46,0.47,0.06,0.05,1.89,0.11,0.7
HP Spectre x360,3.74,0.25,0.96,0.19,0.14,0.05,1.29,1.02,2.45
Xbox Series X,2.47,0.96,1.47,0.68,0.02,0.06,1.75,0.19,0.39
Microsoft Surface Pro,1.11,0.63,2.85,0.84,0.03,0.01,1.91,0.81,2.04
iPhone 11,3.42,0.34,2.61,0.86,0.08,0.08,0.79,1.17,0.85
Nikon D3500,2.22,0.84,2.56,0.29,0.1,0.06,0.49,0.91,0.85
Dell XPS 13,0.93,1.12,1.33,0.59,0.03,0.03,1.23,0.16,2.5
Dell XPS 13,1.1,0.93,0.69,0.88,0.11,0.04,1.66,1.42,1.55
iPhone 11,4.17,1.38,2.87,0.72,0.15,0.09,0.9,0.34,2.78
Apple Watch,4.28,1.69,0.78,0.13,0.18,0.1,1.45,0.2,0.7
iPhone 11,0.31,0.86,2.33,0.56,0.03,0.08,1.01,0.25,2.75
Fitbit Charge,2.93,0.4,0.33,0.96,0.06,0.02,0.17,1.21,2.48
LG OLED TV,1.0,1.16,0.95,0.42,0.16,0.02,1.12,1.41,2.15
Lenovo ThinkPad X1,2.82,1.59,1.74,0.81,0.11,0.06,1.89,0.89,2.29
Samsung Galaxy S20,0.71,0.44,2.14,0.97,0.09,0.03,0.71,0.82,2.01
Nikon D3500,2.29,1.87,2.12,0.59,0.09,0.08,1.23,1.08,1.66
iPhone 11,2.62,1.01,1.67,0.84,0.09,0.02,1.42,1.09,0.57
Raspberry Pi 4,3.12,0.2,2.74,0.73,0.05,0.02,0.95,0.86,1.86
Nintendo Switch,4.43,0.49,1.99,0.97,0.08,0.09,0.72,0.57,1.2
iPhone 11,4.05,0.97,1.12,0.48,0.1,0.09,1.2,0.76,0.68
Dell XPS 13,4.3,1.84,1.11,0.69,0.03,0.08,0.69,0.51,0.53
Apple Watch,3.85,0.32,2.32,0.27,0.19,0.02,1.28,0.93,1.69
HP Spectre x360,1.21,1.57,1.16,0.44,0.18,0.07,1.57,0.47,0.25
iPhone 11,0.47,1.44,0.46,0.51,0.11,0.08,1.65,1.33,0.66
Nintendo Switch,2.23,1.21,2.07,0.27,0.19,0.02,0.15,0.94,2.85
Amazon Kindle,2.97,0.88,0.89,0.24,0.11,0.06,1.19,0.97,0.19
Apple Watch,4.52,0.12,1.11,0.8,0.11,0.08,1.75,0.15,0.45
Google Pixel 6,3.01,0.93,0.5,0.59,0.07,0.05,0.24,0.63,1.64
Raspberry Pi 4,4.0,1.45,2.59,0.49,0.03,0.07,0.78,1.39,2.88
HP Spectre x360,4.39,0.15,0.17,0.57,0.01,0.02,1.53,1.21,2.0
Amazon Kindle,1.02,0.55,0.37,0.4,0.02,0.05,1.6,0.18,1.01
OnePlus 9 Pro,2.19,1.6,2.55,0.81,0.17,0.05,0.8,1.38,2.97
Lenovo ThinkPad X1,3.28,1.19,2.34,0.69,0.12,0.01,1.58,0.4,0.46
HP Spectre x360,3.69,1.69,2.72,0.83,0.17,0.03,0.33,0.41,0.73
Nintendo Switch,0.88,0.83,0.77,0.84,0.02,0.04,0.87,1.34,2.14
Lenovo ThinkPad X1,4.41,1.2,1.79,0.58,0.13,0.06,1.48,0.19,1.69
Microsoft Surface Pro,3.03,0.91,1.05,0.25,0.07,0.06,0.4,0.65,1.08
iPhone 11,4.03,1.66,1.75,0.95,0.11,0.04,1.31,0.52,0.36
Microsoft Surface Pro,3.74,0.28,0.66,0.95,0.03,0.05,1.47,1.01,0.82
